'07/26/2023 14:17:06.590',"309,053,640,000,000","-309,053,640,000,000","618,107,280,000,000",0
'07/26/2023 14:17:06.606',"321,798,120,000,000","-307,460,580,000,000","629,258,700,000,000",0.0716877000000000
'07/26/2023 14:17:06.623',"317,018,940,000,000","-312,239,760,000,000","629,258,700,000,000",0.0238959000000000
'07/26/2023 14:17:06.639',"324,984,240,000,000","-309,053,640,000,000","634,037,880,000,000",0.0796530000000000
'07/26/2023 14:17:06.655',"318,612,000,000,000","-315,425,880,000,000","634,037,880,000,000",0.0159306000000000
'07/26/2023 14:17:06.671',"324,984,240,000,000","-307,460,580,000,000","632,444,820,000,000",0.0876183000000000
'07/26/2023 14:17:06.688',"317,018,940,000,000","-312,239,760,000,000","629,258,700,000,000",0.0238959000000000
'07/26/2023 14:17:06.704',"321,798,120,000,000","-309,053,640,000,000","630,851,760,000,000",0.0637224000000000
'07/26/2023 14:17:06.720',"318,612,000,000,000","-307,460,580,000,000","626,072,580,000,000",0.0557571000000000
'07/26/2023 14:17:06.736',"317,018,940,000,000","-309,053,640,000,000","626,072,580,000,000",0.0398265000000000
'07/26/2023 14:17:06.753',"317,018,940,000,000","-305,867,520,000,000","622,886,460,000,000",0.0557571000000000
'07/26/2023 14:17:06.769',"313,832,820,000,000","-310,646,700,000,000","624,479,520,000,000",0.0159306000000000
'07/26/2023 14:17:06.785',"315,425,880,000,000","-310,646,700,000,000","626,072,580,000,000",0.0238959000000000
'07/26/2023 14:17:06.801',"312,239,760,000,000","-315,425,880,000,000","627,665,640,000,000",-0.0159306000000000
'07/26/2023 14:17:06.818',"313,832,820,000,000","-309,053,640,000,000","622,886,460,000,000",0.0238959000000000
'07/26/2023 14:17:06.834',"310,646,700,000,000","-307,460,580,000,000","618,107,280,000,000",0.0159306000000000
'07/26/2023 14:17:06.850',"310,646,700,000,000","-309,053,640,000,000","619,700,340,000,000",0.00796530000000000
